Frame_ID,Emotion
test0.jpg,angry
test1.jpg,angry
test2.jpg,happy
test3.jpg,happy
test4.jpg,angry
test5.jpg,surprised
test6.jpg,Unknown
test7.jpg,sad
test8.jpg,sad
test9.jpg,sad
test10.jpg,surprised
test11.jpg,surprised
test12.jpg,surprised
test13.jpg,angry
test14.jpg,angry
test15.jpg,angry
test16.jpg,surprised
test17.jpg,angry
test18.jpg,surprised
test19.jpg,surprised
test20.jpg,surprised
test21.jpg,angry
test22.jpg,angry
test23.jpg,angry
test24.jpg,angry
test25.jpg,surprised
test26.jpg,angry
test27.jpg,surprised
test28.jpg,Unknown
test29.jpg,surprised
test30.jpg,happy
test31.jpg,Unknown
test32.jpg,surprised
test33.jpg,angry
test34.jpg,surprised
test35.jpg,Unknown
test36.jpg,happy
test37.jpg,sad
test38.jpg,Unknown
test39.jpg,sad
test40.jpg,angry
test41.jpg,Unknown
test42.jpg,Unknown
test43.jpg,sad
test44.jpg,sad
test45.jpg,happy
test46.jpg,happy
test47.jpg,happy
test48.jpg,Unknown
test49.jpg,angry
test50.jpg,angry
test51.jpg,angry
test52.jpg,angry
test53.jpg,surprised
test54.jpg,surprised
test55.jpg,surprised
test56.jpg,happy
test57.jpg,happy
test58.jpg,happy
test59.jpg,surprised
test60.jpg,happy
test61.jpg,happy
test62.jpg,happy
test63.jpg,happy
test64.jpg,angry
test65.jpg,happy
test66.jpg,surprised
test67.jpg,Unknown
test68.jpg,angry
test69.jpg,angry
test70.jpg,surprised
test71.jpg,Unknown
test72.jpg,happy
test73.jpg,happy
test74.jpg,happy
test75.jpg,angry
test76.jpg,surprised
test77.jpg,Unknown
test78.jpg,Unknown
test79.jpg,Unknown
test80.jpg,Unknown
test81.jpg,surprised
test82.jpg,angry
test83.jpg,angry
test84.jpg,angry
test85.jpg,angry
test86.jpg,angry
test87.jpg,happy
test88.jpg,happy
test89.jpg,happy
test90.jpg,happy
test91.jpg,angry
test92.jpg,angry
test93.jpg,surprised
test94.jpg,happy
test95.jpg,happy
test96.jpg,angry
test97.jpg,angry
test98.jpg,happy
test99.jpg,angry
test100.jpg,happy
test101.jpg,Unknown
test102.jpg,Unknown
test103.jpg,happy
test104.jpg,happy
test105.jpg,happy
test106.jpg,angry
test107.jpg,happy
test108.jpg,happy
test109.jpg,happy
test110.jpg,happy
test111.jpg,happy
test112.jpg,happy
test113.jpg,happy
test114.jpg,happy
test115.jpg,happy
test116.jpg,happy
test117.jpg,happy
test118.jpg,happy
test119.jpg,happy
test120.jpg,angry
test121.jpg,Unknown
test122.jpg,Unknown
test123.jpg,sad
test124.jpg,angry
test125.jpg,angry
test126.jpg,happy
test127.jpg,happy
test128.jpg,surprised
test129.jpg,angry
test130.jpg,happy
test131.jpg,Unknown
test132.jpg,Unknown
test133.jpg,Unknown
test134.jpg,Unknown
test135.jpg,happy
test136.jpg,Unknown
test137.jpg,Unknown
test138.jpg,Unknown
test139.jpg,happy
test140.jpg,angry
test141.jpg,happy
test142.jpg,happy
test143.jpg,happy
test144.jpg,Unknown
test145.jpg,Unknown
test146.jpg,happy
test147.jpg,Unknown
test148.jpg,angry
test149.jpg,angry
test150.jpg,angry
test151.jpg,angry
test152.jpg,angry
test153.jpg,angry
test154.jpg,angry
test155.jpg,angry
test156.jpg,happy
test157.jpg,Unknown
test158.jpg,angry
test159.jpg,surprised
test160.jpg,angry
test161.jpg,surprised
test162.jpg,surprised
test163.jpg,angry
test164.jpg,angry
test165.jpg,angry
test166.jpg,angry
test167.jpg,angry
test168.jpg,angry
test169.jpg,angry
test170.jpg,angry
test171.jpg,surprised
test172.jpg,surprised
test173.jpg,surprised
test174.jpg,surprised
test175.jpg,surprised
test176.jpg,surprised
test177.jpg,surprised
test178.jpg,surprised
test179.jpg,Unknown
test180.jpg,Unknown
test181.jpg,happy
test182.jpg,surprised
test183.jpg,angry
test184.jpg,angry
test185.jpg,surprised
